case_id,condition,mutation,raw_compact_schema_valid,raw_policy_valid,schema_valid,policy_valid,all_invariants_hold,schema_errors,policy_errors,proposed_not_executed,validated_scope_only,bounded_duration,approval_for_disruptive,retrieved_evidence_only,maximum_three_actions,route_consistent_with_detector,nonplanning_route_non_disruptive,whole_proposal_rejected,target_scope_rewritten,incompatible_action_removed,action_count_reduced,parameter_values_rewritten,fabricated_evidence_removed,bounded_defaults_applied,escalation_fallback_applied,benign_monitoring_fallback_applied,inconsistent_route_corrected
iot-v2-030,rag,non_object_output,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-030,rag,low_confidence_disruptive_action,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False
iot-v2-030,rag,benign_disruptive_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False
iot-v2-009,no_rag,overbroad_untrusted_target,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False
iot-v2-009,no_rag,family_incompatible_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False
iot-v2-009,no_rag,extreme_numeric_parameters,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False
iot-v2-009,no_rag,fabricated_evidence_identifier,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False
iot-v2-009,no_rag,excessive_action_count,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False
iot-v2-009,no_rag,missing_action_list,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-009,no_rag,non_object_output,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-009,no_rag,low_confidence_disruptive_action,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False
iot-v2-009,no_rag,benign_disruptive_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False
iot-v2-015,rag,overbroad_untrusted_target,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False
iot-v2-015,rag,family_incompatible_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False
iot-v2-015,rag,extreme_numeric_parameters,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,False,False
iot-v2-015,rag,fabricated_evidence_identifier,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False
iot-v2-015,rag,excessive_action_count,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False
iot-v2-015,rag,missing_action_list,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False
iot-v2-015,rag,non_object_output,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False
iot-v2-015,rag,low_confidence_disruptive_action,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False
iot-v2-015,rag,benign_disruptive_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True
iot-v2-029,no_rag,overbroad_untrusted_target,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False
iot-v2-029,no_rag,family_incompatible_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False
iot-v2-029,no_rag,extreme_numeric_parameters,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False
iot-v2-029,no_rag,fabricated_evidence_identifier,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False
iot-v2-029,no_rag,excessive_action_count,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False
iot-v2-029,no_rag,missing_action_list,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-029,no_rag,non_object_output,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-029,no_rag,low_confidence_disruptive_action,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False
iot-v2-029,no_rag,benign_disruptive_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False
iot-v2-005,no_rag,overbroad_untrusted_target,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False
iot-v2-005,no_rag,family_incompatible_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,False,False
iot-v2-005,no_rag,extreme_numeric_parameters,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False
iot-v2-005,no_rag,fabricated_evidence_identifier,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,True,True,True,True,False,False,False,False
iot-v2-005,no_rag,excessive_action_count,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,False,False,False
iot-v2-005,no_rag,missing_action_list,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-005,no_rag,non_object_output,False,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False
iot-v2-005,no_rag,low_confidence_disruptive_action,True,True,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False
iot-v2-005,no_rag,benign_disruptive_action,True,False,True,True,True,[],[],True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,False
